Route_Name,Route_Link,Bus_Name,Bus_Type,Departing_Time,Duration,Reaching_Time,Star_Rating,Price,Seat_Availability
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),04:35,05h 55m,10:30,4.7,650,18 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:10,06h 25m,05:35,4.6,650,22 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),13:10,06h 15m,19:25,4.6,500,34 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),05:50,05h 55m,11:45,4.6,650,21 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),11:05,06h 35m,17:40,4.6,550,23 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,NueGo,Electric A/C Seater (2+2),22:35,06h 40m,05:15,4.6,595,25 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Bharat Benz A/C Seater /Sleeper (2+1),23:50,05h 45m,05:35,4.4,INR 596,40 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,Scania AC Multi Axle Sleeper (2+1),23:59,06h 31m,06:30,4.5,INR 1099,25 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,FRESHBUS,Electric A/C Seater (2+2),23:40,06h 15m,05:55,4.5,550,32 Seats available
Hyderabad to Vijayawada,https://www.redbus.in/bus-tickets/hyderabad-to-vijayawada,IntrCity SmartBus,A/C Seater / Sleeper (2+1),23:05,06h 15m,05:20,4.5,INR 633,39 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 9887,RAJDHANI (A.C. Semi Sleeper),00:10,06h 10m,06:20,2.9,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 31362,RAJDHANI (A.C. Semi Sleeper),00:30,05h 30m,06:00,2.8,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 42162,Super Luxury (Non AC Seater 2+2 Push Back),01:10,05h 05m,06:15,4.1,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 30710,RAJDHANI (A.C. Semi Sleeper),01:20,05h 40m,07:00,2.9,INR 533,34 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 41510,Super Luxury (Non AC Seater 2+2 Push Back),01:30,05h 40m,07:10,4.1,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 42362,Super Luxury (Non AC Seater 2+2 Push Back),01:50,06h 10m,08:00,4.3,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1590,RAJDHANI (A.C. Semi Sleeper),02:00,04h 25m,06:25,2.6,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 30910,GARUDA PLUS (VOLVO / BENZ A.C Multi Axle),02:15,05h 40m,07:55,3.4,INR 533,40 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 41710,Super Luxury (Non AC Seater 2+2 Push Back),02:30,04h 35m,07:05,2.8,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1571,"SUPER LUXURY (NON-AC, 2 + 2 PUSH BACK)",02:40,05h 00m,07:40,3.4,INR 440,46 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 5966,RAJADHANI AC (CONVERTED METRO LUXURY),03:20,06h 05m,09:25,2.6,INR 533,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 42762,Super Luxury (Non AC Seater 2+2 Push Back),03:30,06h 10m,09:40,4.1,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 41910,Super Luxury (Non AC Seater 2+2 Push Back),03:45,05h 55m,09:40,2.8,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1884,RAJADHANI AC (CONVERTED METRO LUXURY),04:00,05h 40m,09:40,3.7,INR 533,35 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 41931,Super Luxury (Non AC Seater 2+2 Push Back),04:10,05h 00m,09:10,4.4,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 7621,Super Luxury (Non AC Seater 2+2 Push Back),04:15,05h 15m,09:30,4.5,INR 440,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 4074,RAJDHANI (A.C. Semi Sleeper),04:20,05h 40m,10:00,3.0,INR 533,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 42962,Super Luxury (Non AC Seater 2+2 Push Back),04:30,04h 50m,09:20,2.6,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 42110,Super Luxury (Non AC Seater 2+2 Push Back),04:50,05h 00m,09:50,2.4,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1887,RAJDHANI (A.C. Semi Sleeper),05:00,04h 30m,09:30,3.1,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 43162,Super Luxury (Non AC Seater 2+2 Push Back),05:10,06h 10m,11:20,3.6,INR 440,23 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1132,RAJDHANI (A.C. Semi Sleeper),05:30,05h 50m,11:20,2.8,INR 533,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 40577,Super Luxury (Non AC Seater 2+2 Push Back),06:30,04h 50m,11:20,4.1,INR 440,26 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 42131,Super Luxury (Non AC Seater 2+2 Push Back),07:10,05h 00m,12:10,2.4,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 2981,RAJADHANI AC (CONVERTED METRO LUXURY),07:20,05h 40m,13:00,2.2,INR 533,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1596,RAJDHANI (A.C. Semi Sleeper),07:40,04h 35m,12:15,2.3,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 7693,Super Luxury (Non AC Seater 2+2 Push Back),08:00,05h 00m,13:00,4.3,INR 440,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1650,RAJADHANI AC (CONVERTED METRO LUXURY),08:20,04h 20m,12:40,1.4,INR 533,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 31110,RAJDHANI (A.C. Semi Sleeper),08:40,05h 40m,14:20,3.0,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 17962,eGARUDA,09:00,06h 25m,15:25,3.7,INR 533,31 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 4076,Super Luxury (Non AC Seater 2+2 Push Back),09:00,05h 45m,14:45,3.3,INR 440,27 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 18762,eGARUDA,09:30,04h 30m,14:00,2.7,INR 533,35 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1648,RAJDHANI (A.C. Semi Sleeper),09:40,04h 20m,14:00,3.2,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 9934,Super Luxury (Non AC Seater 2+2 Push Back),10:10,07h 10m,17:20,3.9,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1892,RAJDHANI (A.C. Semi Sleeper),10:20,04h 35m,14:55,2.9,INR 533,34 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1464,RAJDHANI (A.C. Semi Sleeper),10:40,06h 10m,16:50,2.3,INR 533,37 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 40131,Super Luxury (Non AC Seater 2+2 Push Back),11:00,05h 00m,16:00,4.5,INR 440,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 2991,RAJDHANI (A.C. Semi Sleeper),11:20,05h 40m,17:00,1.7,INR 533,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 40177,Super Luxury (Non AC Seater 2+2 Push Back),11:30,04h 55m,16:25,3.2,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1805,Super Luxury (Non AC Seater 2+2 Push Back),12:00,06h 10m,18:10,1.9,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1582,RAJDHANI (A.C. Semi Sleeper),12:10,04h 30m,16:40,3.3,INR 533,34 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 40162,Super Luxury (Non AC Seater 2+2 Push Back),12:30,05h 00m,17:30,2.1,INR 440,32 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 9945,Super Luxury (Non AC Seater 2+2 Push Back),13:00,06h 10m,19:10,2.9,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1547,RAJDHANI (A.C. Semi Sleeper),13:00,06h 10m,19:10,2.3,INR 533,36 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 17162,eGARUDA,13:30,06h 20m,19:50,3.6,INR 533,35 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 40331,Super Luxury (Non AC Seater 2+2 Push Back),13:40,04h 50m,18:30,2.6,INR 440,33 Seats available
Vijayawada to Hyderabad,https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad,TGSRTC - 1600,RAJDHANI (A.C. Semi Sleeper),14:00,05h 40m,19:40,2.1,INR 533,37 Seats available
